BTF_ID,Station,Unit,BTF Date,BTF Time,BTF Weight,BTF Prim Sec,Region,Sub-region,Sub-sub-region,Locn along tube,Feature,Offset ID,El,Tube,Tube circuit,Tube pass,Failure mode,FM_Group,FM_Detail,Notes,Butt weld count,Notes Secondary Damage,External release,Event driven,BTF date retrospective,BTF time retrospective,Survey locn,Date of Last Inspection,Outage Code,Outage type,Outage DateTime Start,Outage dateTime Finish,LOA op derate,LOA run-down,LOA outage,LOA run-up,LOA masked,LOA $,Notes Outage LOA,Plant Failure Report,BTF Report
LD4_2022-02-17_RH,LD,LD4,17/02/2022,,1,1,RH,RH1,,,,,E021,T05,,,Crack,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Thermal-fatigue,,,,,,,,,,,Forced,,,,,,,,,,,
BW4_2022-02-14_SH,BW,BW4,14/02/2022,,1,1,SH,SH2,,Tie row B,Tie: Solid,,Panel 3,T49,,,Crack,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Thermal-fatigue,T48-T49 tie,,,,,,,,,,Forced,15/02/2022 2:17,22/02/2022 17:56,0,4.368,125.791,5.703,0,"$10,150,000",,,
LD1_2022-02-14_RH,LD,LD1,14/02/2022,,1,1,RH,RH2,,,,,E013,T06,,,Crack,Creep rupture,Creep: Long term,,,,,,,,,,,Forced,13/02/2022 19:19,17/02/2022 12:33,0,13.567,44.616,0.459,0,"$4,270,000",MDC override to 350MW,,
LD3_2022-02-12_SH,LD,LD3,12/02/2022,,1,1,SH,SH4,,,,,E006,T07,,,Rupture,Creep rupture,Creep: Long term,,,,,,,,,,,Forced,11/02/2022 15:17,15/02/2022 10:00,0,0,45.356,0,0,"$2,500,000",MDC override to 350MW. As of 23-Feb-22 still out of service to repair centre-wall crack,,
LY2_2022-02-01_Econ_a,LY,LY2,1/02/2022,,1,1,Econ,Upper bank,,Orifice: Inlet leg,Orifice weld,,E129,T2,,,Crack,Quality,Quality: Welding,,3,,N,N,,,Econ_orifice,,FU022201,Forced,2/02/2022 13:00,7/02/2022 15:52,1.087,0.275,65.124,0.692,0,"$1,010,000",Avg price during outage $15.53 / MWh,,
LY2_2022-02-01_Econ_b,LY,LY2,1/02/2022,,,2,Econ,Upper bank,,Orifice: Inlet leg,Straight,,E130,T2,,,Hole,Erosion,,Secondary damage,3,,N,N,,,Econ_CR_A_UB,,FU022201,Forced,2/02/2022 13:00,7/02/2022 16:52,,,,,,,Secondary damage: No LOA assigned,,
BW3_2021-12-15_Evap,BW,BW3,15/12/2021,,1,1,Evap,WW: Rear,,,Corner,,,,,,Crack,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Thermal-fatigue,"Rear, B-side corner",,,,,,,,,,Forced,15/12/2021 23:53,23/12/2021 6:03,0,2.822,114.95,2.991,0,"$7,320,000",,,
LY1_2021-11-23_Evap,LY,LY1,23/11/2021,,1,1,Evap,WW: Rear,Corner NW,Floor 07,Corner,,Rear Wall,T1,,,Rupture,Erosion,Erosion,Significant wall loss due to erosion in this area of the wall. Signs of tube overheating similar to other corners,2,,N,N,,,,,FU012105,Forced,23/11/2021 23:45,28/11/2021 4:00,0,0.574,56.14,1.333,0,"$1,120,000",Avg price during outage: $18.57 / MWh,,HLC2022073
LD2_2021-11-21_Evap,LD,LD2,21/11/2021,,1,1,Evap,WW: Rear,,,,,,T183,,,Crack,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Corrosion-fatigue,Sloping wall tube at rear centre wall,,,,,,,,,,Forced,21/11/2021 10:06,4/12/2021 19:13,0.516,0,112.395,1.771,0,"$6,090,000",MDC override to 350MW,,
LY2_2021-10-31_SH_a,LY,LY2,31/10/2021,,1,1,SH,SH2,Lower Bank,Bif: Outlet,Tail,,E021,T3,,,Rupture,Erosion,Erosion: Fly-ash,,3,,N,N,,,SH2_Tail_outlet_bif,,SLS221,Planned,31/10/2021 19:01,5/11/2021 19:00,0,0.747,63.589,0,0,"$860,000",Average price low thru most of forced outage ($11.02) then became planned outage before run-up.,,
LY2_2021-10-31_SH_b,LY,LY2,31/10/2021,,,2,SH,SH2,Lower Bank,Bif: Outlet,Tail,,E023,T3,,,Hole,Erosion,Erosion,,3,,N,N,,,SH2_Tail_outlet_bif,,SLS221,Planned,31/10/2021 19:35,5/11/2021 22:00,,,,,,,Secondary damage: no LOA assigned.,,
LY1_2021-10-25_Evap,LY,LY1,25/10/2021,,1,1,Evap,WW,Sloping,Heat shield / dipper plates,Scallop plate,,,T296,,,Crack,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Thermal-fatigue,,2,Erosion of heat shield and dipper plates to become an external leak,Y,N,,,WW_SlopingWall_Sloping_Wall,,FU012104,Forced,26/10/2021 22:05,31/10/2021 20:27,0,0.584,66.294,0.777,0,"$270,000",Low spot prices (average $3.13 during outage),,
LY1_2021-10-25_RH_a,LY,LY1,25/10/2021,,,2,RH,RH1,Lower Bank,"Front wall, bend intrados",,,E097,T14,,,Hole,Erosion,Erosion: Secondary damage,,4,Secondary damage to adjacent tubes,N,N,,,WW_SlopingWall_Sloping_Wall,,FU012104,Forced,26/10/2021 22:05,31/10/2021 20:27,,,,,,,LOA assigned to hopper leak. Not assigned masked LOA because not sure would have forced unit off.,,
LY1_2021-10-25_RH_b,LY,LY1,25/10/2021,,0.5,1,RH,RH1,Lower Bank,"Front wall, bend intrados",,,E098,T13,,,Hole,Corrosion - pitting/wastage,Corrosion: Bore-side — Pitting,,4,Secondary damage to adjacent tubes,N,N,,,,,FU012104,Forced,26/10/2021 22:05,31/10/2021 20:27,,,,,,,LOA assigned to hopper leak. Not assigned masked LOA because not sure would have forced unit off.,,
LY1_2021-10-25_RH_c,LY,LY1,25/10/2021,,0.5,1,RH,RH1,Lower Bank,"Front wall, bend intrados",,,E099,T15,,,Hole,Corrosion - pitting/wastage,Corrosion: Bore-side — Pitting,,6,Secondary damage to adjacent tubes,N,N,,,,,FU012104,Forced,26/10/2021 22:05,31/10/2021 20:27,,,,,,,LOA assigned to hopper leak. Not assigned masked LOA because not sure would have forced unit off.,,
LY1_2021-10-25_RH_d,LY,LY1,25/10/2021,,,2,RH,RH1,Lower Bank,"Front wall, bend intrados",,,E097,T15,,,Hole,Erosion,Erosion: Secondary damage,,2,,N,N,,,RH1_Bend_LB_FrontWall,,FU012104,Forced,26/10/2021 22:05,31/10/2021 20:27,,,,,,,Secondary damage => no LOA assigned,,
LY1_2021-10-25_RH_e,LY,LY1,25/10/2021,,,2,RH,RH1,Lower Bank,"Front wall, bend intrados",,,E098,T14,,,Hole,Erosion,Erosion: Secondary damage,,2,,N,N,,,RH1_Bend_LB_FrontWall,,FU012104,Forced,26/10/2021 22:05,31/10/2021 20:27,,,,,,,Secondary damage => no LOA assigned,,
LY1_2021-10-25_RH_f,LY,LY1,25/10/2021,,,2,RH,RH1,Lower Bank,"Front wall, bend intrados",,,E099,T16,,,Hole,Erosion,Erosion: Secondary damage,,2,,N,N,,,RH1_Bend_LB_FrontWall,,FU012104,Forced,26/10/2021 22:05,31/10/2021 20:27,,,,,,,Secondary damage => no LOA assigned,,
LY1_2021-10-25_RH_g,LY,LY1,25/10/2021,,,2,RH,RH1,Lower Bank,"Front wall, bend intrados",,,E100,T15,,,Hole,Erosion,Erosion: Secondary damage,,2,,N,N,,,RH1_Bend_LB_FrontWall,,FU012104,Forced,26/10/2021 22:05,31/10/2021 20:27,,,,,,,Secondary damage => no LOA assigned,,
LD2_2021-10-10_Evap,LD,LD2,10/10/2021,,1,1,Evap,WW: Centre,,,Attachment: Seal box,,,T096,,,Hole,Corrosion - pitting/wastage,Corrosion: External,,,,,,,,,,,,11/10/2021 0:19,23/10/2021 19:29,0,0.065,107.509,0.755,0,"$5,250,000",$ Based on 350MW MDR,,
LD1_2021-09-21_Econ,LD,LD1,20/09/2021,,1,1,Econ,Econ A,,,,,E093,T03,,,Rupture,Erosion,Erosion: Fly-ash,,,,,,,,,,,,20/09/2021 22:00,30/09/2021 16:37,0.21,0.315,82.117,1.186,0,"$3,080,000",,,
LD4_2021-09-17_RH,LD,LD4,17/09/2021,,1,1,RH,RH1,,,,,E010,T01,,,Pit,Corrosion - pitting/wastage,Corrosion: Bore-side — Pitting,,,,,,,,,,,,17/09/2021 1:26,17/09/2021 2:26,,,,,,,RH leak identified whilst coming OOS for planned minor outage.  Still need to estimate masked LOA. Refer also RH2 leak.,,
LD4_2021-09-17_RH_b,LD,LD4,17/09/2021,,1,1,RH,RH2,,,Weld: DMW,,E006,T06,,,Crack,Creep rupture,Creep: Long term,,,,,,,,,,,,17/09/2021 1:26,17/09/2021 2:26,0,0,0.35,0,0,"$20,000",RH leak identified whilst coming OOS for planned minor outage.  Still need to estimate masked LOA. Refer also RH1 leak.,,
BW3_2021-09-12_Econ,BW,BW3,12/09/2021,0.753472222,0.5,1,Econ,Econ1,Upper bank,SBL 45,SBL,,E027,T01-Top,,,Rupture,Erosion,Erosion: Sootblower,E52 also holed. Other shields damaged.  Every 13th element? ALS suggest poppet valve leak couple with lance parked with nozzles vertical rather than leteral.,,,N,Y,,,,,,Forced,13/09/2021 22:04,18/09/2021 22:20,5.32488,2.33915,79.36775,4.20057,0,"$2,820,000",,,
BW3_2021-09-12_Econ_b,BW,BW3,12/09/2021,0.753472222,0.5,1,Econ,Econ1,Upper bank,SBL 45,SBL,,E053,T01-Top,,,Rupture,Erosion,Erosion: Sootblower,E27 also holed. Other shields damaged.  Every 13th element? ALS suggest poppet valve leak couple with lance parked with nozzles vertical rather than leteral.,,,N,Y,,,,,,Forced,13/09/2021 22:04,18/09/2021 22:20,,,,,,,,,
LD1_2021-09-03_RH,LD,LD1,3/09/2021,,1,1,RH,RH2,,Betw. hangers: Mid to Rear,Weld: Butt,,E26,T06B,,,,Creep rupture,Creep: Long term,,2,None,N,N,,,,,,Forced,2/09/2021 16:17,13/09/2021 19:05,-,-,133.41,2.42,-,"$2,760,000",WW leak of 3-Jul-21 also fixed in outage.,,
LY1_2021-08-31_Evap,LY,LY1,31/08/2021,,1,1,Evap,WW: Rear,Sloping,Sloping wall,Straight,,,T286,,,Crack,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Thermal-fatigue,,4,Limited to adjacent tube,N,N,,,WW_SlopingWall_Sloping_Wall,,FU012103,Forced,1/09/2021 21:04,7/09/2021 14:40,2.153,0.11,77.049,1.043,0, $-   ,Loss $ actually estimated at -$1.4M because spot prices would have been negative during first part of outage.  ,,
BW3_2021-08-21_SH,BW,BW3,21/08/2021,0.777881944,1,1,SH,HRA,Wall: Partition,Econ penetration below HRA outlet header,Seal plate,,,T004,,,Crack,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Thermal-fatigue,Econ penetration at partition wall seal plate below HRA outlet header,,,N,N,,,,,,,22/08/2021 5:06,27/08/2021 21:21,-,4.1,89.93,3.7,0,"$3,910,000",,,
LD3_2021-08-20_Evap,LD,LD3,20/08/2021,,1,1,Evap,WW: Rear,Burner 7,,Seal box,,,T060,,,Crack,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Corrosion-fatigue,,,,Y,N,,,,,,,21/08/2021 7:28,28/08/2021 14:00,7.46,-,87.27,-,0,"$3,520,000",Run-up assigned to condenser,,
LD4_2021-08-11_RH1,LD,LD4,11/08/2021,,1,1,RH,RH1,RH1 2nd pass,Betw. hangers: Mid to Rear,Straight,,E08,T15,,,Rupture,Creep rupture,Creep: Long term,Data entry incomplete,,,N,N,,,,,,,11/08/2021 9:33,20/08/2021 0:21,0,0.84,103.4,1.65,0,"$3,130,000",,,
BW3_2021-08-09_Evap,BW,BW3,9/08/2021,,1,1,Evap,WW: RHS (A),,,,PSOH,,T098,,,Crack,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Thermal-fatigue,BTF due to external crack from seal box but corrosion-fatigue evident at bore.,,,Y,N,,,,,,Forced,10/08/2021 3:06,20/08/2021 10:00,0,4.83,162.95,2.13,0,"$5,260,000",RH leak during run-up,,
LD2_2021-08-04_Evap,LD,LD2,4/08/2021,,1,1,Evap,WW: Rear,Burner 7,Burner E-F level,Burner infill,,,T035,,,Crack,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Thermal-fatigue,,,,N,N,,,,,,,4/08/2021 1:31,10/08/2021 15:56,0.51,5.6,79.21,0.82,0,"$3,720,000",,,
LY1_2021-07-22_RH,LY,LY1,22/07/2021,7:20:00,1,1,RH,RH2,Upper bank,SBL B-C,,,3,8,,,Rupture,Erosion,Erosion: Sootblower,Last UT Nov 17 at 3.2mm. Likely shielded and shield found OK in April 2021.,12,"4 tubes eroded and replaced, waterwall eroded no repair required",N,N,,,RH2_UB_14th_floor_SB_Lane_B-C,15/04/2021,FU012102,Forced,22/07/2021 20:55,28/07/2021 2:42,1.24,0.4,66.1,1.03,,"$3,850,000",,,
BW1_2021-07-19_SH,BW,BW1,19/07/2021,,1,1,SH,HRA,Wall: Rear ,HRA tansfer tube penetration,Penetration,,,T137,,,Rupture,Erosion,Erosion: Air ingress,,,,,,,,,,,,19/07/2021 6:35,29/07/2021 21:25,0,0.65,168.19,3.89,0,"$9,440,000",,,
BW2_2021-07-13_SH,BW,BW2,13/07/2021,,1,1,SH,SH4,Inlet pass,,,,E23,T06,,,Rupture,Creep rupture,Creep: Short term — Starvation/Blockage,Short-term rupture just after RTS from major outage and multiple welds on failed tube circuit.,,,,,,,,,,Forced,14/07/2021 8:30,28/07/2021 13:14,0,3.67,224.89,4.09,0,"$11,970,000",,,
LY4_2021-07-05_Evap,LY,LY4,5/07/2021,,1,1,Evap,WW: Front,Sloping,,Scallop plate,,,T295,,,Crack,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Thermal-fatigue,Failure about 2/3 up SE sloping wall.  At membrane between 2nd and 3rd tubes from wall (T294-T295). Crack initiation may be associated with remnant of weld between membrane and shield.,,,N,N,,,,,,Forced,5/07/2021 20:52,11/07/2021 2:36,1.24,0.36,70.42,0.85,0,"$10,980,000",RRP peaked at $13400 during outage.  Average was $233.90.  The -500MW sensitivity peaked at $1585 with average with min of $0 and avrage of $153.,,
LD1_2021-07-03_Evap,LD,LD1,3/07/2021,,1,1,Evap,WW: Front,Corner 8,Belt duct,Attachment: Buckstay,,,T023,,,Crack,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Corrosion-fatigue,,2,None,N,N,,,,,,,2/09/2021 16:17,13/09/2021 19:05,130.986,,,,,"$13,510,000",Outage LOA assigned to RH leak from 2-sep-21.  Operated with known WW leak for 2 months hence high derate.  $ assume 350 MW MDR.,,
LD2_2021-06-23_Evap,LD,LD2,23/06/2021,,1,1,Evap,WW: Screen,,,,,,T059,,,Rupture,Erosion,Erosion: Fly-ash,,,,N,N,,,,,,,23/06/2021 16:00,27/06/2021 8:14,-,-,49.42,2.54,,,Tube leak identified during RTS from Generator issue.  Subsequent run-up assigned to the BTF in RtDuet.,,
BW3_2021-05-19_RH,BW,BW3,19/05/2021,,1,1,RH,RH1,,SB31/32,,,E103,T02,,,Rupture,Quality,Quality: Maintenance,Grinding notch in tube from hstorical (many year ago) maintenance activity. Directly above a butt weld in tube 3.  Was shielded in service.,,,,,,,,,,Forced,20/05/2021 3:39,2/06/2021 16:18,,4.55,214.27,4.58,-,"$12,280,000",,,
LY3_2021-05-14_SH,LY,LY3,14/05/2021,,1,1,SH,SH4,Upper bank,SBL A-B,Weld: Butt,,E26,T12,,,Crack,Quality,Quality: Material,Historical thermocouple tube insert was incorrect material and weld metal.,,,N,Y,,,,,,,14/05/2021 7:14,19/05/2021 14:16,,0.49,67.77,0.69,,,,,
LY3_2021-05-07_SH,LY,LY3,7/05/2021,,1,1,SH,SH2,Lower Bank,SBL D-E,,,E068,T2,,,Rupture,Erosion,Erosion: Sootblower,,,,N,N,,,,,,,7/05/2021 17:43,11/05/2021 21:15,,0.25,55.73,1.72,,,,,
LD3_2021-04-24_RH,LD,LD3,24/04/2021,,1,1,RH,RH2,,,,,E20,T06,,,Rupture,Creep rupture,Creep: Long term,,,,,,,,,,,,,,,-,-,-,,,,,
BW4_2021-04-24_SH,BW,BW4,24/04/2021,,1,1,SH,SH2,Inclined,Tie row C,Tie: Solid,,Panel 1,T28,,,Crack,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Thermal-fatigue,,,,,,,,,,,Forced,24/04/2021 13:51,3/05/2021 4:48,-,0.66,141.76,5.04,-,"$6,230,000",,,
LY1_2021-04-12_Evap,LY,LY1,12/04/2021,,1,1,Evap,WW: Front,,Floor 11,Corner door,2,,T001,,,Crack,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Creep,Long-term overheating/creep failure at corner door offset bend,,,N,N,,,,,,,14/04/2021 22:08,25/04/2021 7:36,,4.88,140.32,0.71,,,Forced cool for generator earth brush repair and additional inspection and testing incorporated into outage (Prosafe calibrations etc.) - corner door offset repair was not critical path,,
LD4_2021-03-26_Evap,LD,LD4,26/03/2021,,1,1,Evap,WW: Front,,Nose,,,,T161,,,Pit,Corrosion - pitting/wastage,Corrosion: Bore-side — Pitting,,,,,,,,,,,,,,,-,-,-,,,,,
LD4_2021-03-21_RH,LD,LD4,21/03/2021,,1,1,RH,RH2,,,,,E09,T08,,,Rupture,Creep rupture,Creep: Long term,,,,,,,,,,,,,,,-,-,-,,,,,
LD4_2021-03-02_RH,LD,LD4,2/03/2021,,1,1,RH,RH1,,,,,E27,T08,,,,Quality,Quality: Welding,Listed in AGLM record as weld failure but need to confirm quality not long term creep or fatigue,,,,,,,,,,,,,,-,-,-,,,,,
LD2_2021-02-16_Evap,LD,LD2,16/02/2021,,1,1,Evap,WW: Centre,,,,,,T043,,,,Corrosion - pitting/wastage,Corrosion: External,Front side central wall tube 43,,,,,,,,,,,,,-,-,69.79,2.08,,,,,
LD4_2021-02-13_Evap,LD,LD4,13/02/2021,,1,1,Evap,WW: Front,,Nose,,,,T163,,,Pit,Corrosion - pitting/wastage,Corrosion: Bore-side — Pitting,,,,,,,,,,,,,,15,1.37,103.14,0.68,,,,,
LD1_2021-01-21_Evap,LD,LD1,21/01/2021,,1,1,Evap,WW: Front,,Straight,Sealbox,,,T047,,,Rupture,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Corrosion-Fatigue,,,,,,21-Jan-21,18:34,,,,,,,,-,-,-,,,,,
LY2_2021-01-17_RH,LY,LY2,17/01/2021,,1,1,RH,RH2,Lower Bank,SBL E-F,,,E43,T5,,,Pit,Corrosion - pitting/wastage,Corrosion: Bore-side — Pitting,,,,N,N,,,,,,,17/01/2021 12:18,19/01/2021 23:54,,0.31,31.59,5.71,,,,,
LD2_2021-01-06_Econ,LD,LD2,6/01/2021,,1,1,Econ,Econ B,,,,,E100,T18,,,Rupture,Erosion,Erosion: Fly-ash,,,,,,,,,,,,,,,-,-,-,,,,,
LY3_2020-20-22_SH,LY,LY3,22/12/2020,20:11,1,1,SH,SH2,Lower bank,SBL B-C,Straight,,E073,T03,,,Rupture,Erosion,Erosion: Sootblower,Likely from data analytics that SH2 tube rupture and water pressure spike caused WW primary rupture.  Starvation caused secondary WW ruptures.,,,,,,,,,,,22/12/2020 21:08,13/01/2021 6:51,,-,-,-,,,LOA assigned to ww leak,,
LY3_2020-12-22_Evap,LY,LY3,22/12/2020,20:11,1,1,Evap,WW: Rear,Throat,,Straight,,,T281,,,Rupture,Erosion,Erosion: Clinker/Ash,Neighboring tubes found in last inspection to be significantly thinned but the tube that ruptured.  Unlikely that it was suddenly eroded so suspect either measurement error or tube numbering inconsistency when actions taken. Probably failed in sympathy with SH2 tube due to pressure spike caused by SH2 failure.,,,,,,,,,,,22/12/2020 21:08,13/01/2021 6:51,,-,-,-,,,LOA assigned to other WW leak,,
LY3_2020-12-22_Evap_b,LY,LY3,22/12/2020,21:43,0,2,Evap,WW: Rear,,Floor 05,Straight,,,T275,,,Rupture,Creep rupture,Creep: Short term — Starvation/Blockage,Likely tertiary rupture closely following T286 and about 40 minutes after T281.,,,,,,,,,,,22/12/2020 21:08,13/01/2021 6:51,,-,-,-,,,LOA assigned to other WW leak,,
LY3_2020-12-22_Evap_c,LY,LY3,22/12/2020,21:43,0,2,Evap,WW: Rear,,Floor 09,Straight,,,T286,,,Rupture,Creep rupture,Creep: Short term — Starvation/Blockage,Likely secondary rupture closely following  about 40 minutes after T281. Secondary guess based on microstructure evidence of overheating at cut ends of tube less than for T275.,,,,,,,,,,,22/12/2020 21:08,13/01/2021 6:51,0.05,-,286,0.7,,,,,
LD1_2020-11-28_Evap,LD,LD1,28/11/2020,,1,1,Evap,WW: Front,Corner,Level: Operating,,,,T006,,,Crack,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Corrosion-Fatigue,About 1m above inspection port with T006 offset,4,T005 holed by sec damage.,,,,,,,,,,,,-,-,-,,,,,
LD1_2020-11-28_Evap_b,LD,LD1,28/11/2020,,0,2,Evap,WW: Front,Corner,Level: Operating,,,,T005,,,Rupture,Erosion,Erosion: Secondary damage,,,,,,,,,,,,,,,-,-,-,,,,,
BW1_2020-11-06_SH,BW,BW1,6/11/2020,,1,1,SH,SH2,Inlet,Inlet stub,Weld: Butt,,Panel 4,T74,,,Crack,Cracking: Fatigue/Creep/SCC/Corr-fat/etc,Cracking: Other,"Crack at bore match notch in 304H just d/s of DMW in inlet stub.  N.b. Have assigned weights of lkely leaks of E04, E08, E14, E18 & E20 to sum to unity.",18,"Panel 4, T73 & T74 eroded/holed.   1st WW tubes each side of opening holed. 2R & 3R WW tubes eroded. 2L snaking with signs of thermal damage. Also sec rupture at SH2 outlet T72. Butt weld count given is for ends of 4-ff SH2 and 5-off WW tubes.  There would have been more intermediate butss not counted here.",,,,,,,,Forced,6/11/2020 17:09,23/11/2020 11:22,2.71,1.05,265.45,7.29,-,"$10,060,000",,,
